package,locked_versions,severity,title,vulnerable_range,url,scope
@ai-sdk/provider-utils,4.0.5; 5.0.23,low,@ai-sdk/provider-utils has an Uncontrolled Resource Consumption issue,>=4.0.0-beta.10 <4.0.33,https://github.com/advisories/GHSA-866g-f22w-33x8,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
@babel/core,7.29.0,low,@babel/core: Arbitrary File Read via sourceMappingURL Comment,<=7.29.0,https://github.com/advisories/GHSA-4x5r-pxfx-6jf8,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
@swc/html,1.15.40,moderate,SWC HTML minifier may allow script element breakout when minifying embedded JSON,<1.15.47-nightly-20260729.1,https://github.com/advisories/GHSA-5qr2-v392-m9g8,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
@tiptap/core,3.27.3,moderate,Tiptap: mergeAttributes() turns an own __proto__ key into inherited executable DOM attributes,>=2.0.0-alpha.0 <3.30.4,https://github.com/advisories/GHSA-cp6q-959q-f8rh,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
@tiptap/core,3.27.3,high,Tiptap: Quadratic ReDoS in block and inline Markdown attribute parsing,>=3.7.0 <3.30.5,https://github.com/advisories/GHSA-j95f-988m-3j2f,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
@vitest/mocker,4.1.10,moderate,Vitest: Path Traversal / Arbitrary File Read via @vitest/mocker Redirect Mock,>=2.1.0 <4.1.11,https://github.com/advisories/GHSA-82fw-gwwq-j7x9,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
adm-zip,0.6.0,moderate,"adm-zip extraction follows destination symlinks, allowing arbitrary file overwrite",>=0.5.9 <=0.6.0,https://github.com/advisories/GHSA-vwc7-r8mq-g2x9,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
adm-zip,0.6.0,high,adm-zip: Uncontrolled memory allocation via the declared uncompressed size (DoS),<0.6.1,https://github.com/advisories/GHSA-7q85-xj36-vmfc,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
baseline-browser-mapping,2.10.31; 2.11.21,moderate,baseline-browser-mapping process termination on invalid input causes denial of service,>=2.0.0 <2.11.0,https://github.com/advisories/GHSA-w5vr-8v7q-w6rv,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
body-parser,1.20.5,low,body-parser vulnerable to denial of service when invalid limit value silently disables size enforcement,<1.20.6,https://github.com/advisories/GHSA-v422-hmwv-36x6,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
