issue,title,pr_disposition,pr_coverage,pr_confidence,current_issue_state,remaining_requirement,this_audit
6853,"feat: Notification widget - Support Markdown/HTML, Delete Option, and Disable Clickthrough",addressed,full,high,OPEN,Validate formatting and deletion against a real Gotify deployment.,PR claim inventoried; not individually re-reproduced
6850,bug: OIDC logout aborts the end-session request before it completes,addressed,full,high,OPEN,The real Authentik end-session endpoint was unavailable; the controlled delayed provider proves the browser sequencing and local-session contract.,PR claim inventoried; not individually re-reproduced
6830,"bug: WUD integration fails to load data after upgrading WUD to 9.0.0 (connection test passes, widget doesn't)",addressed,full,high,OPEN,"Confirm with a live WUD 9 instance if desired, but the merged v2 implementation addresses the reported mismatch and will be fixed with v2.",PR claim inventoried; not individually re-reproduced
6807,bug: MCP tools/list fails on invite_createInvite z.date() schema,addressed,full,high,OPEN,No remaining gap for the reported tools/list failure. Verify a live MCP tools/list and invite call after deployment if protocol/client versions differ.,PR claim inventoried; not individually re-reproduced
6763,bug: Unable to add users/group to board access control when using OIDC via Authentik,addressed,full,high,OPEN,"No source gap remains for the reported form-reset behavior. If the issue was forgotten open, mention it as fixed with v2; a future report should include provider claim shape or a mutation error if access persistence fails after this separation.",PR claim inventoried; not individually re-reproduced
6761,bug: App Management Breaks w/o Modify All Boards Permission,addressed,full,high,OPEN,"Verify release/v2 with users holding each supported app permission combination and no board-modify-all permission, including direct navigation and management navigation visibility. Confirm unrelated app API actions still enforce their own permissions.",PR claim inventoried; not individually re-reproduced
6745,bug: Unraid health widget reports RAM in GiB approximately 1024x too small,addressed,full,high,OPEN,Feed an actual Unraid 7.3.2 response through a release/v2 deployment and confirm the rendered GiB value. No runtime image or browser check was performed in this source-only review.,PR claim inventoried; not individually re-reproduced
6712,bug: What's Up Docker (WUD) Integration Won't Connect with Username and Password,addressed,full,high,OPEN,"Verify against WUD 9 and a reverse proxy that requires Basic auth, including invalid-credential error handling. Source evidence confirms the requested auth path is present.",PR claim inventoried; not individually re-reproduced
6697,feat: Use Tb / Gb for UNRAID Integration,addressed,full,high,OPEN,Users who choose binary units will still see GiB/TiB by design. Verify the default setting in an upgraded installation and confirm the reported Unraid panel uses the shared formatter.,PR claim inventoried; not individually re-reproduced
6682,bug: Immich integration stops working after the latest update,addressed,full,high,OPEN,"No code gap remains for the reported 1.76.0 API-key regression. If the issue remains open, mention it as fixed in v2; a different current Immich error would need a new request payload/version reproduction.",PR claim inventoried; not individually re-reproduced
6681,"bug: Immich Integration show as working, zero results.",addressed,full,high,OPEN,Run a live Immich album-carousel smoke check against a current Immich server if release confidence is required; no source-level gap remains for the reported unauthenticated album calls.,PR claim inventoried; not individually re-reproduced
6671,bug: Weather widget not displaying data,addressed,full,high,OPEN,"If outbound connections are enabled and a real location still returns no data, collect the provider response separately. Under NO_EXTERNAL_CONNECTION=true, no weather data is expected and the explanation is now explicit.",PR claim inventoried; not individually re-reproduced
6628,bug: MCP OAuth login redirect uses internal container hostname:port instead of BASE_URL,addressed,full,high,OPEN,"Deploy release/v2 behind the affected reverse proxy with BASE_URL set and exercise root/nested discovery, login redirect, and rejected-token 401 responses. Source coverage addresses the reported paths, but no live endpoint or latest-image check was performed here.",PR claim inventoried; not individually re-reproduced
6626,feat: allow selecting which disks are shown in health monitoring / disks widgets,addressed,partial,high,OPEN,"Expose volume discovery/options for OMV and other supported integrations with no-SMART semantics, preserve integration-scoped filtering, and verify virtual-drive exclusions in both widgets.",PR claim inventoried; not individually re-reproduced
6622,bug: Bug/UX: Restoring .zip backup shows empty boards until manual hard refresh / re-login,addressed,full,high,OPEN,Add the reporter's suggested warning before accepting the backup file if desired. The reported stale/empty-board core is handled by forced re-login in v2.,PR claim inventoried; not individually re-reproduced
6608,bug: Integration page accessible without board-modify-all permission,addressed,full,high,OPEN,"Test the page with each relevant delegated/global permission in a browser, but the route guard and merged v2 fix directly address the report.",PR claim inventoried; not individually re-reproduced
6600,🚀 Homarr v2 public beta is here! Join the testing,addressed,partial,high,OPEN,Keep this umbrella partial. Track each outstanding item independently: (1) run the real public demo repeatedly and make seed/reset behavior deterministic; (2) verify world clocks in compact versus Advanced Clock modes; (3) reproduce Media Releases with the reporter's provider and inspect logs; (4) decide whether direct Docker controls need prominent buttons and add pause if required; (5) do not count open PR #6852 as present for bookmark title toggle/size; (6) verify ultrawide layout centering/max columns; and (7) run a long performance/memory soak.,PR claim inventoried; not individually re-reproduced
6589,feat: 2 separate widgets for 2 separate docker instances,addressed,full,high,OPEN,"If users need endpoint creation entirely through the GUI, that is a separate feature; retain clear setup documentation and verify partial endpoint failures and endpoint-specific actions in deployment.",PR claim inventoried; not individually re-reproduced
6559,"bug: Releases widget showing ""Only the first 1000 results are available"" error",addressed,full,high,OPEN,Local pagination fix must land in release/v2. Provider-capped historical releases remain unavailable; ordinary API errors still propagate. Five new regression cases plus nine existing tests passed.,PR claim inventoried; not individually re-reproduced
6543,Upgrade to MCP v2 (spec 2026-07-28),addressed,partial,high,OPEN,"Record the OAuth/CIMD evaluation and any consciously deferred scope, align authorization-server metadata and cache documentation, and verify the built-in Assistant and external-client compatibility before treating the full proposal as complete. DCR retention alone is not a claim of protocol noncompliance.",PR claim inventoried; not individually re-reproduced
6513,feat: Windows-style board switcher overlay (Alt-Tab style) when cycling boards,addressed,partial,high,OPEN,"Implement the requested modifier-held overlay if that interaction remains desired: cycle on Tab/arrows, select on modifier release, and cancel on Escape. The current Shift+C searchable modal is a usable partial substitute but does not provide those semantics.",PR claim inventoried; not individually re-reproduced
6435,feat: Expand Homarr API Coverage to Support Full Dashboard Automation,addressed,partial,high,OPEN,"Add round-trip REST/OpenAPI endpoints for settings, sections, layouts, and every item geometry/update/delete operation, then cover integrations, groups/containers, search engines, users/API keys, import/export, and bootstrap/auth semantics. Publish the schemas and permission behavior for Terraform/Ansible clients.",PR claim inventoried; not individually re-reproduced
6392,feat: Switch Board via keyboard shortcut,addressed,partial,high,OPEN,"Implement and document guarded global next/previous and numbered or persisted per-board shortcuts, then verify them on release/v2 across typing contexts and board counts.",PR claim inventoried; not individually re-reproduced
6207,bug: Unifi integration not working,addressed,full,high,OPEN,"No v2 code gap remains for the reported default-port error. If the issue was forgotten open, mention it as fixed by v2; users still need a local controller account and supported HTTPS endpoint.",PR claim inventoried; not individually re-reproduced
6153,feat: re-open: add open webui  #3766,addressed,partial,medium,OPEN,"Test the intended Open WebUI endpoint, authentication, model discovery, streaming and supported tool behavior with Assistant. Decide whether this satisfies the requester before treating it as fully resolved; a dedicated Open WebUI client remains absent.",PR claim inventoried; not individually re-reproduced
6050,bug: background image is absent or cut off with white space,addressed,partial,medium,OPEN,"Reproduce in Firefox/Linux using the reporter's image and deployment, capture the image response and decode result, and verify both the viewport-height fix and any remaining CDN/proxy/content-type issue.",PR claim inventoried; not individually re-reproduced
